Sitio,Unidad,Capa,Momento_Arcaico,Clase_Subfilo,Especie,NISP,MNI,Peso,Observaciones,Responsable
Alero 224-A,Columna de Fauna,2,Arcaico 6,BV,Perumytilus purpuratus,2,2,3.4,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella crassa,339,105,322.6,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella limbata,1388,5,377.3,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella maxima,902,21,914.4,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella costata,1,1,25.1,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella latimarginata,1,1,5,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Fissurella sp.,372,29,245.8,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Concholepas concholepas,376,18,432.8,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Tegula sp.,1647,9,166,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Tegula tridentata,1,1,2.4,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Trochidae,509,61,200.3,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Scurria parasitica,64,63,20.3,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Scurria viridula,1,1,5.1,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Echinolittorina peruviana,4,4,4,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,GS,Marinula pepita,1,1,0,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Acanthopleura echinata,1891,85,2119.5,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Enoplochiton niger,84,6,452.7,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Chiton granosus,26,9,35.3,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Chiton latus,26,2,74.3,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Tonicia sp.,10,6,25.2,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,PP,Chiton sp.,263,1,223.2,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,CR,Austromegabalanus psittacus,84,2,128,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,CR,Balanus laevis,38,3,14.9,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,CR,Balanus sp.,1,1,2,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,CR,Decapoda,21,9,12.6,,L. Vasquez
Alero 224-A,Columna de Fauna,2,Arcaico 6,ECH,Echinoidea,1612,15,258.2,MNI probablemente se calculÃ³ dividiendo el peso total por un peso estandar por individuo.,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Fissurella crassa,37,17,44.6,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Fissurella limbata,223,1,79.7,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Fissurella maxima,106,1,107.4,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Fissurella sp.,7,3,6.9,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Concholepas concholepas,25,4,53.1,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Tegula sp.,330,6,63.1,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Tegula tridentata,1,1,0,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Trochidae,332,6,23.5,,L. Vasquez
Alero 224-A,Columna de Fauna,2B,Arcaico 4,GS,Scurria parasitica,6,6,1.7,,L. Vasquez
