GENUS_SPECIES,AUTHOR,CLASS,ORDER,FAMILY,ECOLOGY,DISTRIBUTION,MACRO_HABITAT,Litoral,MACRO_HABITAT,Recoleccion (directa_indirecta),Comentario,Referencia
Acanthina monodon,Pallas 1774,Gastropoda,Neogastropoda,Muricidae,Carnivore,Temperate,Intermareal y submareal rocoso,Arenoso y Rocoso,Intermareal,Directa,NaN,Soto et al. 2004 RCHN
Acanthopleura echinata,Barnes 1824,Polyplacophora,Chitonida,Chitonidae,Herbivore,Temperate,Intermareal y submareal rocoso,Rocoso,Intermareal,Directa,NaN,NaN
Aesopus aliciae,Marincovich 1973,Gastropoda,Neogastropoda,Columbellidae,Carnivore,Temperate,Intermareal y submareal arenoso,Arenoso,Intermareal,Directa e Indirecta,Marincovich 1973 ,NaN
Argopecten purpuratus,Lamarck 1819,Bivalvia,Pectinida,Pectinidae,Filter feeder,Temperate,Intermareal y submareal arenoso,Arenoso,Submareal,Directa,NaN,NaN
Austromegabalanus psittacus,Molina 1788,Hexanauplia,Sessilia,Balanidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Rocoso,Submareal,Directa,NaN,NaN
Balanus laevis,Brugiere 1789,Hexanauplia,Sessilia,Balanidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Rocoso,Inter/Submareal,Indirecta,NaN,NaN
Balanus sp.,NaN,Hexanauplia,Sessilia,Balanidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Rocoso,Inter/Submareal,Indirecta,NaN,NaN
Bittium peruvianum,d_Orbigny 1841,Gastropoda,Caenogastropoda,Cerithiidae,Bottom feeder,Temperate,Intermareal y submareal arenoso,Arenoso y Rocoso,Submareal,Directa e Indirecta,NaN,NaN
Brachidontes granulatus,Hanley 1843,Bivalvia,Mytilida,Mytilidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Rocoso,Intermareal,Directa e Indirecta,NaN,NaN
Calyptraeidae,NaN,Gastropoda,Littorinimorpha,Calyptraeidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Arenoso y Rocoso,Inter/Submareal,Indirecta,Veliz et al. 2012 MOLLRES,NaN
Chiton granosus,Frembly 1827,Polyplacophora,Chitonida,Chitonidae,Herbivore,Temperate,Intermareal rocoso,Rocoso,Intermareal,Directa,NaN,NaN
Chiton latus,Sowerby 1841,Polyplacophora,Chitonida,Chitonidae,Herbivore,Temperate,Intermareal y submareal rocoso,Rocoso,Intermareal,Directa,Aldea y Valdovinos (2005) Araya y Araya 2015 ,NaN
Chiton sp.,Linnaeus 1758,Polyplacophora,Chitonida,Chitonidae,Herbivore,Temperate,Intermareal y submareal rocoso,Rocoso,Intermareal,Directa,NaN,NaN
Choromytilus chorus,Molina 1872,Bivalvia,Mytilida,Mytilidae,Filter feeder,Temperate,Submareal,Rocoso,Submareal,Directa,NaN,NaN
Concholepas concholepas,Brugiere 1789,Gastropoda,Neogastropoda,Muricidae,Carnivore,Temperate,Intermareal y submareal rocoso,Rocoso,Inter/Submareal,Directa,NaN,NaN
Crassilabrum crassilabrum,Swerby 1834,Gastropoda,Neogastropoda,Muricidae,Carnivore,Temperate,Intermareal y submareal rocoso,Rocoso,Submareal,Directa,NaN,NaN
Crepidula dilatata,Lamarck 1822,Gastropoda,Littorinimorpha,Calyptraeidae,Filter feeder,Temperate,Intermareal y submareal rocoso,Arenoso y Rocoso,Inter/Submareal,Directa e Indirecta,Pechenick et al. 2015 BIOBULL Veliz et al. 2012 MOLLRES,NaN
Cyclostremiscus sp.,Pilsbry_Olsson 1945,Gastropoda,Littorinimorpha,Tornidae,Bottom feeder,Warm_temperate,Intermareal y submareal arenoso,Arenoso,Inter/Submareal,Indirecta,NaN,NaN
Decapoda,NaN,Malacostraca,Decapoda,NaN,NaN,NaN,NaN,Arenoso y Rocoso,Inter/Submareal,Directa,NaN,NaN
Diloma nigerrimum,Gmelin 1791,Gastropoda,Trochida,Trochidae,Herbivore,Temperate,Intermareal rocoso,Rocoso,Inter/Submareal,Directa e Indirecta,Veliz y Vasquez 2000 RCHN,NaN
